Name,Species,Study_accession,Project_link,PMID,Treatment_type,Drug,Sample_accession,Biological_type,Ribo_type,Trim_arg,S_P_type
Pallares H,HS,GSE254254,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254254,38917323,pre-lysis,cycloheximide,GSM8036810; GSM8036809; GSM8036808; GSM8036807; GSM8036806; GSM8036805,Cells_A549,monosome,,single
Roshan P,HS,GSE272515,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272515,39727167,pre-lysis,cycloheximide,GSM8403804; GSM8403803; GSM8403802; GSM8403801; GSM8403800,Cells_HCT116 ,monosome,,single
Liboy-Lugo JM,HS,GSE254634,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254634/,39356796,post-lysis,cycloheximide,GSM8047475; GSM8047476; GSM8047477; GSM8047478; GSM8047479; GSM8047480; GSM8047481; GSM8047482; GSM8047483; GSM8047485; GSM8047487;GSM8047489,Cells_U2OS,monosome,,single
Susanto T,HS,GSE274188,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274188,39260367,pre-lysis,cycloheximide,GSM8444811; GSM8444810; GSM8444809; GSM8444808; GSM8444807; GSM8444806,hiNs,monosome,,single
Wang S,HS,GSE252920,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252920,39137200,pre-lysis,cycloheximide,GSM8010380; GSM8010379; GSM8010378; GSM8010377; GSM8010376; GSM8010375,A549,monosome,,single
Cui J,HS,GSE223469,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223469,38982125,pre-lysis,cycloheximide,GSM6957092; GSM6957091; GSM6957090; GSM6957089; GSM6957088; GSM6957087; GSM6957086; GSM6957085; GSM6957084; GSM6957083; GSM6957082; GSM6957081; GSM6957080; GSM6957079; GSM6957078; GSM6957077,HEK293T,polysome,,single
He C,HS,GSE241588,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241588,39103523,pre-lysis,cycloheximide,GSM8391550; GSM8391549; GSM8391548; GSM8391547; GSM8391546; GSM8391545; GSM8391538; GSM8391537; GSM8391536; GSM8391535; GSM8391534; GSM8391533,Huh7,polysome,,paired
Chothani SP,HS,GSE182377,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182377,35841888,post-lysis,cycloheximide,GSM5527732; GSM5527731; GSM5527730; GSM5527729; GSM5527728,HCAEC,polysome,,single
Chothani SP,HS,GSE182377,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182377,35841888,post-lysis,cycloheximide,GSM5527727; GSM5527726; GSM5527725; GSM5527724; GSM5527723; GSM5527722,HAEC,polysome,,single
Chothani SP,HS,GSE182377,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182377,35841888,post-lysis,cycloheximide,GSM5527751; GSM5527750; GSM5527749; GSM5527748; GSM5527747; GSM5527746; GSM5527745; GSM5527744; GSM5527743; GSM5527742; GSM5527741,VSMC,polysome,,single
Chothani SP,HS,GSE182377,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182377,35841888,post-lysis,cycloheximide,GSM5527721; GSM5527720; GSM5527719; GSM5527718; GSM5527717; GSM5527716; GSM5527715; GSM5527714; GSM5527713; GSM5527712; GSM5527711; GSM5527710; GSM5527709; GSM5527708; GSM5527707; GSM5527706; GSM5527705; GSM5527704; GSM5527703; GSM5527702; GSM5527701; GSM5527700; GSM5527699; GSM5527698; GSM5527697; GSM5527696; GSM5527695; GSM5527694; GSM5527693; GSM5527692; GSM5527691; GSM5527690,Fibroblast,polysome ,,single
Chothani SP,HS,GSE182377,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182377,35841888,post-lysis,cycloheximide,GSM5527689; GSM5527688; GSM5527687; GSM5527686; GSM5527685; GSM5527684,Fat,polysome,,single
Chothani SP,HS,GSE182377,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182377,35841888,post-lysis,cycloheximide,GSM5527683; GSM5527682; GSM5527681; GSM5527680; GSM5527679; GSM5527678,ES,polysome,,single
Chothani SP,HS,GSE182377,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182377,35841888,post-lysis,cycloheximide,GSM5527677; GSM5527676; GSM5527675; GSM5527674; GSM5527673,Brain,polysome,,single
